,resultId,raceId,name,year,circuitId,driverId,constructorId,starting_position,finishing_status,train_test,ending_position
20699,20699,352,Japanese Grand Prix,2010,22,3,131,6,2,1,0
20700,20700,352,Japanese Grand Prix,2010,22,16,10,15,2,1,0
20701,20701,352,Japanese Grand Prix,2010,22,9,4,3,2,1,0
20702,20702,352,Japanese Grand Prix,2010,22,807,3,9,2,1,0
20703,20703,352,Japanese Grand Prix,2010,22,13,6,12,2,1,0
20704,20704,352,Japanese Grand Prix,2010,22,808,4,13,2,1,0
20705,20705,352,Japanese Grand Prix,2010,22,24,10,17,2,1,0
20706,20706,352,Japanese Grand Prix,2010,22,810,166,21,2,1,0
20707,20707,353,Korean Grand Prix,2010,35,4,6,3,1,1,1
20708,20708,353,Korean Grand Prix,2010,35,1,1,4,1,1,2
